period,profit_center,company_code,gl_account,customers,arpu,revenue,new_logos,churned_customers
2023-01-01,PC10,1000,400000,678.2959955478333,856.7032115443136,581098.36,29.929608563146164,11.633613015312948
2023-01-01,PC10,2000,400000,369.97963393518177,856.7032115443136,316962.74,16.32524103444336,6.345607099261607
2023-01-01,PC10,3000,400000,184.98981696759088,856.7032115443136,158481.37,8.16262051722168,3.1728035496308036
2023-01-01,PC20,1000,400000,363.28910472567094,1154.1344549970506,419284.47,18.08183876196305,6.792734036292159
2023-01-01,PC20,2000,400000,198.15769348672958,1154.1344549970506,228700.62,9.862821142888935,3.705127656159359
2023-01-01,PC20,3000,400000,99.07884674336479,1154.1344549970506,114350.31,4.931410571444467,1.8525638280796795
2023-01-01,PC40,1000,400200,165.99360040095632,2196.0029381056584,364522.43,6.513420687352318,5.519820286396036
2023-01-01,PC40,2000,400200,90.54196385506707,2196.0029381056584,198830.42,3.552774920373991,3.010811065306928
2023-01-01,PC40,3000,400200,45.27098192753353,2196.0029381056584,99415.21,1.7763874601869956,1.505405532653464
2023-01-01,PC30,1000,400100,,,118183.63,,
2023-01-01,PC30,2000,400100,,,64463.8,,
2023-01-01,PC30,3000,400100,,,32231.9,,
2023-02-01,PC10,1000,400000,694.6662953831149,861.3737635212299,598367.32,27.726690662636145,11.356390827354701
2023-02-01,PC10,2000,400000,378.90888839078985,861.3737635212299,326382.18,15.123649452346987,6.194394996738927
2023-02-01,PC10,3000,400000,189.45444419539493,861.3737635212299,163191.09,7.561824726173493,3.0971974983694635
2023-02-01,PC20,1000,400000,367.9996413582631,1156.011394805363,425411.78,10.096387161808584,5.385850529216405
2023-02-01,PC20,2000,400000,200.72707710450712,1156.011394805363,232042.79,5.507120270077409,2.937736652299857
2023-02-01,PC20,3000,400000,100.36353855225356,1156.011394805363,116021.39,2.7535601350387044,1.4688683261499285
2023-02-01,PC40,1000,400200,165.2763558721041,2186.2347998174723,361332.92,4.497297190868921,5.214541719721177
2023-02-01,PC40,2000,400200,90.15073956660221,2186.2347998174723,197090.68,2.4530711950194113,2.8442954834842786
2023-02-01,PC40,3000,400200,45.075369783301106,2186.2347998174723,98545.34,1.2265355975097056,1.4221477417421393
2023-02-01,PC30,1000,400100,,,90927.4,,
2023-02-01,PC30,2000,400100,,,49596.76,,
2023-02-01,PC30,3000,400100,,,24798.38,,
